team,elo
Spain,2209.3361254804317
Argentina,2181.6885436219113
France,2122.845527015197
England,2087.028579811069
Brazil,2060.5997267333632
Colombia,2058.098050661785
Portugal,2027.6611807698494
Germany,2022.8629561940072
Netherlands,2021.0716024137569
Ecuador,2020.3555650117153
Japan,2001.3740102810802
Morocco,1997.707658417917
Mexico,1978.41664430634
Belgium,1971.385915348663
Uruguay,1968.1559637944051
Turkey,1967.8139680701106
Norway,1967.3203760227775
Croatia,1967.074437039005
Switzerland,1964.890119348811
Italy,1925.5493537077753
Denmark,1919.4744166603925
Senegal,1912.2443102659925
Paraguay,1911.8570940021905
Australia,1905.611624252929
Austria,1902.3361172313598
Iran,1901.166528575118
Canada,1900.1769626363919
South Korea,1885.3440887230886
Nigeria,1883.3052050601284
Algeria,1870.9823899255052
United States,1858.3048285216348
Russia,1849.0635943080977
Scotland,1846.6450311320118
Panama,1840.6692462469994
Ukraine,1833.2741171018158
Uzbekistan,1829.1309088763367
Ivory Coast,1817.8630704418108
Basque Country,1814.834489510053
Egypt,1809.1149074866598
Venezuela,1807.4143661634018
Czech Republic,1806.1759753023782
Jersey,1803.2929255427673
Greece,1795.8554777733295
Serbia,1794.830161662675
Chile,1790.6397633362712
Poland,1788.3076089421286
Hungary,1781.8451588569371
Jordan,1776.1042481485295
Sweden,1774.522706388364
Republic of Ireland,1770.0815534490953
Kosovo,1769.9957709530509
DR Congo,1768.2777109981134
Peru,1767.9514478461347
Wales,1755.2211070452338
Iraq,1754.4896429854127
Costa Rica,1746.7790121707012
Guernsey,1744.8975085490383
Slovenia,1744.1341875086578
Slovakia,1742.220168982673
New Zealand,1735.2842453145643
Tunisia,1734.1964279027095
Bolivia,1726.930502088037
Cameroon,1726.0569459422368
German DR,1722.1177837822097
Georgia,1717.7244760174422
Isle of Man,1705.3562367618583
Mali,1703.4607712822726
Romania,1702.9581209627231
Honduras,1697.8115441432342
Saudi Arabia,1694.9796052972872
Northern Cyprus,1694.4651815286338
Occitania,1687.8829896213408
Albania,1686.0733427124208
Padania,1685.0020512867209
Haiti,1684.910713017279
Israel,1683.181334425832
Catalonia,1678.5373044545327
United Arab Emirates,1677.0715543764636
Northern Ireland,1671.6416118730708
South Africa,1670.4288487518852
Isle of Wight,1663.477635422733
Bosnia and Herzegovina,1659.9866356934817
Jamaica,1650.477157626124
Cape Verde,1649.4487350777597
North Macedonia,1648.9617623566637
