team,american_odds
Spain,450
France,475
England,700
Portugal,850
Argentina,900
Brazil,950
Germany,1400
Netherlands,2000
Norway,3500
Belgium,4000
Colombia,4000
Morocco,5000
United States,6000
Switzerland,6500
Uruguay,6500
Japan,6500
Mexico,8000
Ecuador,8000
Turkey,9000
Croatia,9000
Senegal,9000
Sweden,12000
Austria,15000
Canada,20000
Scotland,20000
Ivory Coast,25000
Czech Republic,25000
Paraguay,30000
Egypt,30000
Ghana,30000
Algeria,35000
South Korea,40000
Bosnia and Herzegovina,50000
Tunisia,50000
Australia,60000
Iran,70000
DR Congo,100000
Saudi Arabia,100000
South Africa,100000
Panama,100000
Cape Verde,100000
Qatar,150000
Uzbekistan,150000
New Zealand,150000
Iraq,150000
Jordan,250000
Curaçao,250000
Haiti,250000
