,group_top2,third_qualified,R32,R16,QF,SF,final,champion
Spain,0.9754,0.02,0.9954,0.8131,0.6667,0.5596,0.4338,0.3104
Argentina,0.9346,0.0474,0.982,0.7183,0.5959,0.4428,0.3077,0.1811
France,0.8435,0.1003,0.9438,0.7225,0.4861,0.3082,0.1545,0.0793
England,0.8915,0.0754,0.9669,0.7173,0.4491,0.2778,0.1517,0.0732
Brazil,0.8513,0.0988,0.9501,0.6458,0.4234,0.2472,0.1154,0.0536
Colombia,0.801,0.12,0.921,0.6368,0.3484,0.1787,0.0931,0.0411
Mexico,0.8742,0.0784,0.9526,0.6754,0.35,0.1803,0.0772,0.0307
Portugal,0.7769,0.1241,0.901,0.6019,0.2993,0.15,0.0736,0.0287
Ecuador,0.8344,0.1064,0.9408,0.619,0.3162,0.16,0.0624,0.0255
Belgium,0.8155,0.1058,0.9213,0.6448,0.3528,0.1335,0.0662,0.0238
Netherlands,0.8148,0.1082,0.923,0.5098,0.3036,0.1498,0.0575,0.0225
Norway,0.6714,0.1763,0.8477,0.5225,0.2722,0.1294,0.0472,0.0178
Germany,0.7985,0.1271,0.9256,0.5801,0.2725,0.1327,0.05,0.0177
Morocco,0.7163,0.1588,0.8751,0.4682,0.2627,0.1242,0.0428,0.0146
Switzerland,0.857,0.0907,0.9477,0.6255,0.2904,0.1091,0.0399,0.0145
Japan,0.7428,0.1365,0.8793,0.4293,0.234,0.1028,0.0352,0.0141
Canada,0.8399,0.0981,0.938,0.601,0.2706,0.0962,0.0347,0.0107
Uruguay,0.7667,0.1247,0.8914,0.3291,0.1691,0.0745,0.0296,0.0088
Turkey,0.5407,0.173,0.7137,0.3878,0.1591,0.044,0.0179,0.0054
Croatia,0.6532,0.1967,0.8499,0.3943,0.1459,0.0576,0.0182,0.0051
Iran,0.6204,0.1715,0.7919,0.4183,0.1581,0.0453,0.0152,0.0049
Paraguay,0.515,0.1754,0.6904,0.3555,0.1363,0.0396,0.0138,0.0035
United States,0.483,0.1903,0.6733,0.3401,0.1237,0.0346,0.0107,0.0034
Austria,0.5072,0.2037,0.7109,0.2062,0.0895,0.0327,0.0106,0.0021
Australia,0.4613,0.1847,0.646,0.3171,0.1128,0.0301,0.0087,0.002
Senegal,0.3648,0.2619,0.6267,0.2656,0.0963,0.0278,0.0063,0.0014
South Korea,0.5446,0.2141,0.7587,0.3168,0.099,0.0274,0.0057,0.0013
Uzbekistan,0.2874,0.2631,0.5505,0.181,0.0465,0.0125,0.0031,0.0007
Panama,0.3741,0.2872,0.6613,0.1945,0.0494,0.0126,0.003,0.0006
Algeria,0.3795,0.2241,0.6036,0.1541,0.0598,0.0137,0.0036,0.0004
Czech Republic,0.4323,0.234,0.6663,0.2411,0.0634,0.0142,0.0025,0.0003
DR Congo,0.1347,0.1676,0.3023,0.0681,0.0116,0.0021,0.0003,0.0002
Ivory Coast,0.3014,0.3174,0.6188,0.1741,0.0392,0.0061,0.0013,0.0002
Scotland,0.3333,0.2844,0.6177,0.1878,0.0629,0.0158,0.0018,0.0002
New Zealand,0.2466,0.1984,0.445,0.1238,0.0251,0.0043,0.001,0.0001
Sweden,0.2592,0.2302,0.4894,0.1075,0.0266,0.0054,0.0006,0.0001
Bosnia and Herzegovina,0.2038,0.2699,0.4737,0.0994,0.0141,0.0017,0.0004,0.0
Cape Verde,0.1057,0.1846,0.2903,0.0299,0.0037,0.0,0.0,0.0
Curaçao,0.0657,0.1211,0.1868,0.0213,0.0022,0.0001,0.0,0.0
Tunisia,0.1832,0.1942,0.3774,0.0661,0.0143,0.0014,0.0001,0.0
Jordan,0.1787,0.1779,0.3566,0.0632,0.0165,0.0024,0.0007,0.0
Egypt,0.3175,0.211,0.5285,0.1785,0.0425,0.0071,0.0015,0.0
Ghana,0.0812,0.1212,0.2024,0.0191,0.003,0.0,0.0,0.0
Saudi Arabia,0.1522,0.2525,0.4047,0.0521,0.0106,0.0013,0.0002,0.0
Qatar,0.0993,0.1723,0.2716,0.0318,0.0029,0.0004,0.0,0.0
Haiti,0.0991,0.1364,0.2355,0.0359,0.0043,0.0004,0.0,0.0
Iraq,0.1203,0.1411,0.2614,0.0565,0.0114,0.0017,0.0002,0.0
South Africa,0.1489,0.1431,0.292,0.0521,0.0063,0.0009,0.0001,0.0
