home,away,p_home,p_draw,p_away,top1,top2,top3
Mexico,South Africa,0.795,0.145,0.06,1-0 (18.9%),2-0 (13.6%),2-1 (12.5%)
South Korea,Czech Republic,0.43,0.243,0.326,1-1 (10.8%),1-0 (10.2%),0-0 (9.1%)
Canada,Bosnia and Herzegovina,0.715,0.181,0.103,1-0 (17.0%),2-0 (12.3%),2-1 (11.2%)
United States,Paraguay,0.362,0.241,0.396,1-1 (10.7%),0-1 (10.5%),0-0 (9.1%)
Qatar,Switzerland,0.058,0.14,0.802,0-1 (21.2%),1-2 (14.6%),0-2 (13.9%)
Brazil,Morocco,0.489,0.237,0.274,1-0 (11.6%),1-1 (10.5%),0-0 (8.9%)
Haiti,Scotland,0.197,0.22,0.584,0-1 (15.4%),1-2 (10.6%),0-2 (10.1%)
Australia,Turkey,0.342,0.244,0.414,0-1 (10.9%),1-1 (10.8%),0-0 (9.2%)
Germany,Curaçao,0.814,0.134,0.052,1-0 (19.3%),2-0 (14.0%),2-1 (12.8%)
Ivory Coast,Ecuador,0.142,0.199,0.66,0-1 (17.4%),1-2 (12.0%),0-2 (11.5%)
Netherlands,Japan,0.431,0.243,0.326,1-1 (10.8%),1-0 (10.2%),0-0 (9.1%)
Sweden,Tunisia,0.442,0.242,0.315,1-1 (10.7%),1-0 (10.5%),0-0 (9.1%)
Belgium,Egypt,0.652,0.201,0.147,1-0 (15.5%),2-0 (11.2%),2-1 (10.2%)
Iran,New Zealand,0.58,0.22,0.199,1-0 (13.8%),2-0 (10.0%),1-1 (9.8%)
Spain,Cape Verde,0.908,0.077,0.015,1-0 (21.6%),2-0 (15.6%),2-1 (14.3%)
Saudi Arabia,Uruguay,0.114,0.184,0.702,0-1 (18.5%),1-2 (12.8%),0-2 (12.2%)
France,Senegal,0.652,0.201,0.147,1-0 (15.5%),2-0 (11.2%),2-1 (10.2%)
Iraq,Norway,0.107,0.179,0.714,0-1 (18.8%),1-2 (13.0%),0-2 (12.4%)
Argentina,Algeria,0.756,0.162,0.082,1-0 (18.0%),2-0 (13.0%),2-1 (11.9%)
Austria,Jordan,0.575,0.222,0.203,1-0 (13.7%),2-0 (9.9%),1-1 (9.8%)
Portugal,DR Congo,0.735,0.171,0.094,1-0 (17.5%),2-0 (12.6%),2-1 (11.6%)
Uzbekistan,Colombia,0.145,0.2,0.655,0-1 (17.3%),1-2 (11.9%),0-2 (11.4%)
England,Croatia,0.581,0.221,0.199,1-0 (13.8%),2-0 (10.0%),1-1 (9.8%)
Ghana,Panama,0.158,0.206,0.637,0-1 (16.8%),1-2 (11.6%),0-2 (11.1%)
Czech Republic,South Africa,0.581,0.22,0.199,1-0 (13.8%),2-0 (10.0%),1-1 (9.8%)
Mexico,South Korea,0.61,0.212,0.178,1-0 (14.5%),2-0 (10.5%),2-1 (9.6%)
Switzerland,Bosnia and Herzegovina,0.733,0.172,0.095,1-0 (17.4%),2-0 (12.6%),2-1 (11.5%)
Canada,Qatar,0.791,0.145,0.064,1-0 (18.8%),2-0 (13.6%),2-1 (12.4%)
Scotland,Morocco,0.207,0.223,0.57,0-1 (15.0%),1-2 (10.4%),0-2 (9.9%)
Brazil,Haiti,0.808,0.137,0.055,1-0 (19.2%),2-0 (13.9%),2-1 (12.7%)
United States,Australia,0.385,0.243,0.372,1-1 (10.8%),0-1 (9.8%),1-0 (9.2%)
Turkey,Paraguay,0.39,0.245,0.365,1-1 (10.9%),0-1 (9.6%),1-0 (9.3%)
Germany,Ivory Coast,0.641,0.204,0.154,1-0 (15.2%),2-0 (11.0%),2-1 (10.1%)
Ecuador,Curaçao,0.824,0.129,0.047,1-0 (19.6%),2-0 (14.1%),2-1 (13.0%)
Netherlands,Sweden,0.68,0.192,0.128,1-0 (16.2%),2-0 (11.7%),2-1 (10.7%)
Tunisia,Japan,0.123,0.189,0.689,0-1 (18.2%),1-2 (12.6%),0-2 (12.0%)
Belgium,Iran,0.506,0.235,0.259,1-0 (12.0%),1-1 (10.4%),0-0 (8.8%)
New Zealand,Egypt,0.331,0.244,0.425,0-1 (11.2%),1-1 (10.8%),0-0 (9.2%)
Spain,Saudi Arabia,0.889,0.089,0.021,1-0 (21.1%),2-0 (15.3%),2-1 (14.0%)
Uruguay,Cape Verde,0.749,0.165,0.086,1-0 (17.8%),2-0 (12.9%),2-1 (11.8%)
France,Iraq,0.797,0.143,0.06,1-0 (18.9%),2-0 (13.7%),2-1 (12.5%)
Norway,Senegal,0.533,0.23,0.237,1-0 (12.7%),1-1 (10.2%),2-0 (9.1%)
Argentina,Austria,0.712,0.18,0.108,1-0 (16.9%),2-0 (12.2%),2-1 (11.2%)
Jordan,Algeria,0.254,0.234,0.512,0-1 (13.5%),1-1 (10.4%),1-2 (9.3%)
Portugal,Uzbekistan,0.634,0.206,0.16,1-0 (15.1%),2-0 (10.9%),2-1 (10.0%)
Colombia,DR Congo,0.752,0.164,0.084,1-0 (17.9%),2-0 (12.9%),2-1 (11.8%)
England,Ghana,0.855,0.111,0.034,1-0 (20.3%),2-0 (14.7%),2-1 (13.4%)
Panama,Croatia,0.245,0.232,0.522,0-1 (13.8%),1-1 (10.3%),1-2 (9.5%)
Mexico,Czech Republic,0.653,0.202,0.144,1-0 (15.5%),2-0 (11.2%),2-1 (10.3%)
South Africa,South Korea,0.163,0.208,0.629,0-1 (16.6%),1-2 (11.5%),0-2 (10.9%)
