,group_top2,third_qualified,R32,R16,QF,SF,final,champion
Brazil,0.9309,0.0484,0.9793,0.7785,0.6134,0.4474,0.2975,0.2046
Argentina,0.9045,0.063,0.9675,0.6739,0.5134,0.3617,0.2326,0.1531
Spain,0.8999,0.0644,0.9643,0.6638,0.4604,0.3233,0.2064,0.1146
Colombia,0.7877,0.1185,0.9062,0.6373,0.3999,0.2187,0.1189,0.06
France,0.7986,0.1104,0.909,0.6248,0.3607,0.2024,0.1079,0.0512
Portugal,0.7596,0.1312,0.8908,0.606,0.3558,0.1922,0.099,0.0494
Mexico,0.8272,0.0967,0.9239,0.6507,0.3902,0.2062,0.1,0.0484
England,0.8152,0.1052,0.9204,0.5973,0.3553,0.1881,0.096,0.0477
Belgium,0.7382,0.136,0.8742,0.5912,0.3322,0.1601,0.0802,0.038
Germany,0.7931,0.1438,0.9369,0.6322,0.3376,0.1779,0.0809,0.0333
Uruguay,0.7554,0.1252,0.8806,0.4535,0.2541,0.1387,0.0678,0.0278
Netherlands,0.6931,0.1497,0.8428,0.4367,0.2658,0.1398,0.0643,0.026
United States,0.7155,0.136,0.8515,0.5222,0.2627,0.1148,0.0521,0.0208
Morocco,0.6604,0.1603,0.8207,0.4162,0.23,0.107,0.0436,0.0152
Canada,0.784,0.1196,0.9036,0.5219,0.2394,0.1035,0.0403,0.0138
Iran,0.6198,0.1742,0.794,0.4733,0.2167,0.0911,0.0369,0.0138
Japan,0.6271,0.1662,0.7933,0.3654,0.2027,0.0965,0.0403,0.0135
Ecuador,0.6537,0.2108,0.8645,0.4846,0.2115,0.0905,0.0361,0.0128
Croatia,0.6337,0.1659,0.7996,0.3818,0.1673,0.0657,0.0245,0.0078
Switzerland,0.7036,0.1526,0.8562,0.4474,0.1898,0.071,0.0252,0.0077
Senegal,0.5611,0.1887,0.7498,0.375,0.1477,0.0571,0.0207,0.0063
Australia,0.5459,0.1804,0.7263,0.3648,0.1433,0.0546,0.0203,0.006
South Korea,0.543,0.1779,0.7209,0.366,0.1424,0.0504,0.0162,0.0045
Algeria,0.5098,0.1989,0.7087,0.2461,0.1074,0.0353,0.0128,0.0044
Ivory Coast,0.4813,0.2743,0.7556,0.3404,0.1151,0.0389,0.0122,0.0029
Paraguay,0.3661,0.2043,0.5704,0.2222,0.0719,0.0215,0.0074,0.0022
Norway,0.4129,0.2085,0.6214,0.2525,0.0838,0.0269,0.0073,0.0022
Austria,0.4038,0.2244,0.6282,0.2018,0.0763,0.0261,0.0083,0.0019
Egypt,0.4002,0.2151,0.6153,0.2771,0.0915,0.029,0.0074,0.0018
Czech Republic,0.3588,0.1983,0.5571,0.2181,0.0655,0.0166,0.0044,0.0013
Sweden,0.3667,0.1974,0.5641,0.1886,0.0734,0.0236,0.0055,0.0012
Uzbekistan,0.2736,0.2242,0.4978,0.175,0.0525,0.0131,0.0041,0.0012
Tunisia,0.3131,0.1902,0.5033,0.1509,0.0543,0.0181,0.0048,0.0009
Turkey,0.3725,0.1899,0.5624,0.2113,0.0662,0.0201,0.0043,0.0009
Scotland,0.2434,0.2278,0.4712,0.1274,0.0388,0.0084,0.002,0.0007
Ghana,0.2762,0.2043,0.4805,0.1291,0.0322,0.0074,0.0015,0.0005
Panama,0.2749,0.198,0.4729,0.1279,0.0323,0.007,0.0017,0.0004
New Zealand,0.2418,0.1753,0.4171,0.1474,0.0353,0.0078,0.0015,0.0003
Saudi Arabia,0.1997,0.2181,0.4178,0.0932,0.0222,0.0053,0.0016,0.0003
South Africa,0.271,0.1903,0.4613,0.1507,0.0398,0.0097,0.002,0.0003
Qatar,0.2528,0.1941,0.4469,0.1111,0.0216,0.0046,0.0006,0.0001
Jordan,0.1819,0.1537,0.3356,0.0709,0.0175,0.0031,0.0006,0.0001
Bosnia and Herzegovina,0.2596,0.2097,0.4693,0.1244,0.0278,0.0044,0.0008,0.0001
DR Congo,0.1791,0.1713,0.3504,0.0994,0.0218,0.0047,0.0007,0.0
Curaçao,0.0719,0.0963,0.1682,0.0248,0.0032,0.0,0.0,0.0
Haiti,0.1653,0.1621,0.3274,0.0738,0.0189,0.0034,0.0004,0.0
Cape Verde,0.145,0.1758,0.3208,0.0574,0.013,0.0015,0.0002,0.0
Iraq,0.2274,0.1726,0.4,0.114,0.0254,0.0048,0.0002,0.0
